"","apt_juso..duplicated.apt_juso...."
"7372","제주특별자치도 제주시 한경면 신창리 505"
"7373","제주특별자치도 제주시 한경면 신창리 676-1"
"7374","제주특별자치도 제주시 한경면 신창리 115-3"
"7375","제주특별자치도 제주시 한경면 신창리 220-1"
"7376","제주특별자치도 제주시 한경면 신창리 1111"
"7377","제주특별자치도 제주시 한경면 신창리 1391"
"7378","제주특별자치도 제주시 한경면 신창리 547"
"7379","제주특별자치도 제주시 한경면 신창리 945-1"
"7380","제주특별자치도 제주시 한경면 신창리 754"
"7381","제주특별자치도 제주시 한경면 신창리 1171-6"
"7382","제주특별자치도 제주시 한경면 낙천리 1312-1"
"7383","제주특별자치도 제주시 한경면 낙천리 398-1"
"7384","제주특별자치도 제주시 한경면 낙천리 411"
"7385","제주특별자치도 제주시 한경면 낙천리 1223-1"
"7386","제주특별자치도 제주시 한경면 낙천리 2218"
"7387","제주특별자치도 제주시 한경면 낙천리 2302"
"7388","제주특별자치도 제주시 한경면 낙천리 2088-3"
"7389","제주특별자치도 제주시 한경면 낙천리 1003"
"7390","제주특별자치도 제주시 한경면 낙천리 1013-1"
"7391","제주특별자치도 제주시 한경면 낙천리 376"
"7392","제주특별자치도 제주시 한경면 낙천리 2086-1"
"7393","제주특별자치도 제주시 한경면 낙천리 85-1"
"7394","제주특별자치도 제주시 한경면 낙천리 87"
"7395","제주특별자치도 제주시 한경면 낙천리 86-1"
"7396","제주특별자치도 제주시 한경면 낙천리 1197"
"7397","제주특별자치도 제주시 한경면 낙천리 1198"
"7398","제주특별자치도 제주시 한경면 낙천리 870"
"7399","제주특별자치도 제주시 한경면 낙천리 806"
"7400","제주특별자치도 제주시 한경면 낙천리 1077-1"
"7401","제주특별자치도 제주시 한경면 낙천리 1999"
"7402","제주특별자치도 제주시 한경면 낙천리 150"
"7403","제주특별자치도 제주시 한경면 낙천리 151"
"7404","제주특별자치도 제주시 한경면 낙천리 153"
"7405","제주특별자치도 제주시 한경면 낙천리 293"
"7406","제주특별자치도 제주시 한경면 낙천리 291"
"7407","제주특별자치도 제주시 한경면 낙천리 292"
"7408","제주특별자치도 제주시 한경면 낙천리 129"
"7409","제주특별자치도 제주시 한경면 낙천리 991-2"
"7410","제주특별자치도 제주시 한경면 낙천리 77"
"7411","제주특별자치도 제주시 한경면 낙천리 970-1"
"7412","제주특별자치도 제주시 한경면 낙천리 143"
"7413","제주특별자치도 제주시 한경면 낙천리 802"
"7414","제주특별자치도 제주시 한경면 낙천리 1772"
"7415","제주특별자치도 제주시 한경면 낙천리 948-1"
"7416","제주특별자치도 제주시 한경면 낙천리 1592-1"
"7417","제주특별자치도 제주시 한경면 낙천리 2066-1"
"7418","제주특별자치도 제주시 한경면 낙천리 1845"
"7419","제주특별자치도 제주시 한경면 낙천리 317"
"7420","제주특별자치도 제주시 한경면 낙천리 321"
"7421","제주특별자치도 제주시 한경면 낙천리 327-1"
"7422","제주특별자치도 제주시 한경면 낙천리 330"
"7423","제주특별자치도 제주시 한경면 낙천리 347"
"7424","제주특별자치도 제주시 한경면 낙천리 308"
"7425","제주특별자치도 제주시 한경면 낙천리 2247"
"7426","제주특별자치도 제주시 한경면 낙천리 799-1"
"7427","제주특별자치도 제주시 한경면 낙천리 1170"
"7428","제주특별자치도 제주시 한경면 낙천리 972"
"7429","제주특별자치도 제주시 한경면 낙천리 1141-1"
"7430","제주특별자치도 제주시 한경면 낙천리 1219-1"
"7431","제주특별자치도 제주시 한경면 낙천리 1639-1"
"7432","제주특별자치도 제주시 한경면 낙천리 2080"
"7433","제주특별자치도 제주시 한경면 낙천리 1892"
"7434","제주특별자치도 제주시 한경면 낙천리 420"
"7435","제주특별자치도 제주시 한경면 낙천리 984-2"
"7436","제주특별자치도 제주시 한경면 낙천리 1173"
"7437","제주특별자치도 제주시 한경면 낙천리 2296"
"7438","제주특별자치도 제주시 한경면 낙천리 2297"
"7439","제주특별자치도 제주시 한경면 낙천리 94"
"7440","제주특별자치도 제주시 한경면 낙천리 1781"
"7441","제주특별자치도 제주시 한경면 낙천리 804"
"7442","제주특별자치도 제주시 한경면 낙천리 973-6"
"7443","제주특별자치도 제주시 한경면 낙천리 2273"
"7444","제주특별자치도 제주시 한경면 낙천리 930-1"
"7445","제주특별자치도 제주시 한경면 낙천리 1041-1"
"7446","제주특별자치도 제주시 한경면 낙천리 1059"
"7447","제주특별자치도 제주시 한경면 낙천리 2210-1"
"7448","제주특별자치도 제주시 한경면 낙천리 296"
"7449","제주특별자치도 제주시 한경면 낙천리 232"
"7450","제주특별자치도 제주시 한경면 낙천리 320"
"7451","제주특별자치도 제주시 한경면 낙천리 3"
"7452","제주특별자치도 제주시 한경면 낙천리 804-2"
"7453","제주특별자치도 제주시 한경면 낙천리 980"
"7454","제주특별자치도 제주시 한경면 낙천리 728"
"7455","제주특별자치도 제주시 한경면 낙천리 538"
"7456","제주특별자치도 제주시 한경면 낙천리 720"
"7457","제주특별자치도 제주시 한경면 낙천리 1612"
"7458","제주특별자치도 제주시 한경면 낙천리 270"
"7459","제주특별자치도 제주시 한경면 낙천리 823-1"
"7460","제주특별자치도 제주시 한경면 낙천리 823-2"
"7461","제주특별자치도 제주시 한경면 낙천리 2222-2"
"7462","제주특별자치도 제주시 한경면 낙천리 153-1"
"7463","제주특별자치도 제주시 한경면 낙천리 143-1"
"7464","제주특별자치도 제주시 한경면 낙천리 2365"
"7465","제주특별자치도 제주시 한경면 낙천리 1583"
"7466","제주특별자치도 제주시 한경면 낙천리 823-3"
"7467","제주특별자치도 제주시 한경면 낙천리 216"
"7468","제주특별자치도 제주시 한경면 낙천리 2181-1"
"7469","제주특별자치도 제주시 한경면 낙천리 2336"
"7470","제주특별자치도 제주시 한경면 낙천리 1787-1"
"7471","제주특별자치도 제주시 한경면 낙천리 1039"
"7472","제주특별자치도 제주시 한경면 낙천리 1081"
"7473","제주특별자치도 제주시 한경면 낙천리 823-4"
"7474","제주특별자치도 제주시 한경면 낙천리 1149-1"
"7475","제주특별자치도 제주시 한경면 낙천리 1019-3"
"7476","제주특별자치도 제주시 한경면 낙천리 2315"
"7477","제주특별자치도 제주시 한경면 낙천리 2200"
"7478","제주특별자치도 제주시 한경면 낙천리 1295-3"
"7479","제주특별자치도 제주시 한경면 낙천리 313-1"
"7480","제주특별자치도 제주시 한경면 낙천리 1662-1"
"7481","제주특별자치도 제주시 한경면 낙천리 1920-1"
"7482","제주특별자치도 제주시 한경면 저지리 701"
"7483","제주특별자치도 제주시 한경면 저지리 607"
"7484","제주특별자치도 제주시 한경면 저지리 1950"
"7485","제주특별자치도 제주시 한경면 저지리 535-2"
"7486","제주특별자치도 제주시 한경면 저지리 1444-2"
"7487","제주특별자치도 제주시 한경면 저지리 740"
"7488","제주특별자치도 제주시 한경면 저지리 1925"
"7489","제주특별자치도 제주시 한경면 저지리 1463"
"7490","제주특별자치도 제주시 한경면 저지리 540"
"7491","제주특별자치도 제주시 한경면 저지리 2763-2"
"7492","제주특별자치도 제주시 한경면 저지리 2765-4"
"7493","제주특별자치도 제주시 한경면 저지리 1544-1"
"7494","제주특별자치도 제주시 한경면 저지리 1554"
"7495","제주특별자치도 제주시 한경면 저지리 2990-1"
"7496","제주특별자치도 제주시 한경면 저지리 501"
"7497","제주특별자치도 제주시 한경면 저지리 503"
"7498","제주특별자치도 제주시 한경면 저지리 2326-2"
"7499","제주특별자치도 제주시 한경면 저지리 1053"
"7500","제주특별자치도 제주시 한경면 저지리 1052"
"7501","제주특별자치도 제주시 한경면 저지리 691"
"7502","제주특별자치도 제주시 한경면 저지리 1049"
"7503","제주특별자치도 제주시 한경면 저지리 1055"
"7504","제주특별자치도 제주시 한경면 저지리 697"
"7505","제주특별자치도 제주시 한경면 저지리 1306-1"
"7506","제주특별자치도 제주시 한경면 저지리 1305-3"
"7507","제주특별자치도 제주시 한경면 저지리 2001-2"
"7508","제주특별자치도 제주시 한경면 저지리 2113-1"
"7509","제주특별자치도 제주시 한경면 저지리 2113-2"
"7510","제주특별자치도 제주시 한경면 저지리 1398"
"7511","제주특별자치도 제주시 한경면 저지리 2571"
"7512","제주특별자치도 제주시 한경면 저지리 2785"
"7513","제주특별자치도 제주시 한경면 저지리 2974-1"
"7514","제주특별자치도 제주시 한경면 저지리 2094"
"7515","제주특별자치도 제주시 한경면 저지리 2979-1"
"7516","제주특별자치도 제주시 한경면 저지리 1066"
"7517","제주특별자치도 제주시 한경면 저지리 524"
"7518","제주특별자치도 제주시 한경면 저지리 2686-1"
"7519","제주특별자치도 제주시 한경면 저지리 2687"
"7520","제주특별자치도 제주시 한경면 저지리 1182"
"7521","제주특별자치도 제주시 한경면 저지리 1391"
"7522","제주특별자치도 제주시 한경면 저지리 531-1"
"7523","제주특별자치도 제주시 한경면 저지리 532-2"
"7524","제주특별자치도 제주시 한경면 저지리 532"
"7525","제주특별자치도 제주시 한경면 저지리 1881"
"7526","제주특별자치도 제주시 한경면 저지리 2480"
"7527","제주특별자치도 제주시 한경면 저지리 2479-1"
"7528","제주특별자치도 제주시 한경면 저지리 2481-1"
"7529","제주특별자치도 제주시 한경면 저지리 2482"
"7530","제주특별자치도 제주시 한경면 저지리 2484-6"
"7531","제주특별자치도 제주시 한경면 저지리 2483"
"7532","제주특별자치도 제주시 한경면 저지리 2469-1"
"7533","제주특별자치도 제주시 한경면 저지리 2472-1"
"7534","제주특별자치도 제주시 한경면 저지리 2855-3"
"7535","제주특별자치도 제주시 한경면 저지리 2963"
"7536","제주특별자치도 제주시 한경면 저지리 1063"
"7537","제주특별자치도 제주시 한경면 저지리 1065"
"7538","제주특별자치도 제주시 한경면 저지리 501-2"
"7539","제주특별자치도 제주시 한경면 저지리 2444-3"
"7540","제주특별자치도 제주시 한경면 저지리 2444-8"
"7541","제주특별자치도 제주시 한경면 저지리 605-1"
"7542","제주특별자치도 제주시 한경면 저지리 603-8"
"7543","제주특별자치도 제주시 한경면 저지리 2325"
"7544","제주특별자치도 제주시 한경면 저지리 2781"
"7545","제주특별자치도 제주시 한경면 저지리 2792"
"7546","제주특별자치도 제주시 한경면 저지리 565-2"
"7547","제주특별자치도 제주시 한경면 저지리 1875"
"7548","제주특별자치도 제주시 한경면 저지리 2938"
"7549","제주특별자치도 제주시 한경면 저지리 2940"
"7550","제주특별자치도 제주시 한경면 저지리 1069"
"7551","제주특별자치도 제주시 한경면 저지리 669-3"
"7552","제주특별자치도 제주시 한경면 저지리 1307-5"
"7553","제주특별자치도 제주시 한경면 저지리 1150-1"
"7554","제주특별자치도 제주시 한경면 저지리 2222"
"7555","제주특별자치도 제주시 한경면 저지리 1892-3"
"7556","제주특별자치도 제주시 한경면 저지리 2269-1"
"7557","제주특별자치도 제주시 한경면 저지리 2359-3"
"7558","제주특별자치도 제주시 한경면 저지리 2604-1"
"7559","제주특별자치도 제주시 한경면 저지리 2607-1"
"7560","제주특별자치도 제주시 한경면 저지리 2823"
"7561","제주특별자치도 제주시 한경면 저지리 532-1"
"7562","제주특별자치도 제주시 한경면 저지리 1552"
"7563","제주특별자치도 제주시 한경면 저지리 2137"
"7564","제주특별자치도 제주시 한경면 저지리 2141"
"7565","제주특별자치도 제주시 한경면 저지리 2142"
"7566","제주특별자치도 제주시 한경면 저지리 2140"
"7567","제주특별자치도 제주시 한경면 저지리 2146"
"7568","제주특별자치도 제주시 한경면 저지리 642-2"
"7569","제주특별자치도 제주시 한경면 저지리 2589"
"7570","제주특별자치도 제주시 한경면 저지리 2415-3"
"7571","제주특별자치도 제주시 한경면 저지리 2465"
"7572","제주특별자치도 제주시 한경면 저지리 2471-4"
"7573","제주특별자치도 제주시 한경면 저지리 2572-2"
"7574","제주특별자치도 제주시 한경면 저지리 1110"
"7575","제주특별자치도 제주시 한경면 저지리 2962-5"
"7576","제주특별자치도 제주시 한경면 저지리 2804"
"7577","제주특별자치도 제주시 한경면 저지리 2805"
"7578","제주특별자치도 제주시 한경면 저지리 2848-4"
"7579","제주특별자치도 제주시 한경면 저지리 1361"
"7580","제주특별자치도 제주시 한경면 저지리 2570"
"7581","제주특별자치도 제주시 한경면 저지리 1710-3"
"7582","제주특별자치도 제주시 한경면 저지리 1746"
"7583","제주특별자치도 제주시 한경면 저지리 554"
"7584","제주특별자치도 제주시 한경면 저지리 2655"
"7585","제주특별자치도 제주시 한경면 저지리 2813"
"7586","제주특별자치도 제주시 한경면 저지리 33"
"7587","제주특별자치도 제주시 한경면 저지리 530-1"
"7588","제주특별자치도 제주시 한경면 저지리 3255"
"7589","제주특별자치도 제주시 한경면 저지리 2214"
"7590","제주특별자치도 제주시 한경면 저지리 1275"
"7591","제주특별자치도 제주시 한경면 저지리 652-1"
"7592","제주특별자치도 제주시 한경면 저지리 3100"
"7593","제주특별자치도 제주시 한경면 저지리 3101"
"7594","제주특별자치도 제주시 한경면 저지리 2374"
"7595","제주특별자치도 제주시 한경면 저지리 1585"
"7596","제주특별자치도 제주시 한경면 저지리 1694"
"7597","제주특별자치도 제주시 한경면 저지리 2213"
"7598","제주특별자치도 제주시 한경면 저지리 705"
"7599","제주특별자치도 제주시 한경면 저지리 1600"
"7600","제주특별자치도 제주시 한경면 저지리 2814"
"7601","제주특별자치도 제주시 한경면 저지리 719"
"7602","제주특별자치도 제주시 한경면 저지리 721"
"7603","제주특별자치도 제주시 한경면 저지리 2551-1"
"7604","제주특별자치도 제주시 한경면 저지리 2551-2"
"7605","제주특별자치도 제주시 한경면 저지리 1920"
"7606","제주특별자치도 제주시 한경면 저지리 2114-19"
"7607","제주특별자치도 제주시 한경면 저지리 1512-1"
"7608","제주특별자치도 제주시 한경면 저지리 1512-2"
"7609","제주특별자치도 제주시 한경면 저지리 1512-4"
"7610","제주특별자치도 제주시 한경면 저지리 1510-2"
"7611","제주특별자치도 제주시 한경면 저지리 1510-4"
"7612","제주특별자치도 제주시 한경면 저지리 2390-1"
"7613","제주특별자치도 제주시 한경면 저지리 1651"
"7614","제주특별자치도 제주시 한경면 저지리 2566-1"
"7615","제주특별자치도 제주시 한경면 저지리 2281-1"
"7616","제주특별자치도 제주시 한경면 저지리 1216"
"7617","제주특별자치도 제주시 한경면 저지리 1753-1"
"7618","제주특별자치도 제주시 한경면 저지리 2116"
"7619","제주특별자치도 제주시 한경면 저지리 2859"
"7620","제주특별자치도 제주시 추자면 대서리 57"
"7621","제주특별자치도 제주시 추자면 대서리 172"
"7622","제주특별자치도 제주시 추자면 대서리 175"
"7623","제주특별자치도 제주시 추자면 대서리 242"
"7624","제주특별자치도 제주시 추자면 대서리 279"
"7625","제주특별자치도 제주시 추자면 대서리 282"
"7626","제주특별자치도 제주시 추자면 영흥리 14"
"7627","제주특별자치도 제주시 추자면 영흥리 17"
"7628","제주특별자치도 제주시 추자면 영흥리 18"
"7629","제주특별자치도 제주시 추자면 묵리 258"
"7630","제주특별자치도 제주시 추자면 묵리 341"
"7631","제주특별자치도 제주시 추자면 묵리 342"
"7632","제주특별자치도 제주시 추자면 묵리 693"
"7633","제주특별자치도 제주시 추자면 묵리 690"
"7634","제주특별자치도 제주시 추자면 묵리 88"
"7635","제주특별자치도 제주시 추자면 예초리 124"
"7636","제주특별자치도 제주시 추자면 예초리 125"
"7637","제주특별자치도 제주시 추자면 예초리 126"
"7638","제주특별자치도 제주시 추자면 예초리 194"
"7639","제주특별자치도 제주시 추자면 신양리 892"
"7640","제주특별자치도 제주시 추자면 신양리 645"
"7641","제주특별자치도 제주시 추자면 신양리 14"
"7642","제주특별자치도 제주시 추자면 신양리 14-1"
"7643","제주특별자치도 제주시 추자면 신양리 17-1"
"7644","제주특별자치도 제주시 추자면 신양리 387"
"7645","제주특별자치도 제주시 추자면 신양리 479"
"7646","제주특별자치도 제주시 추자면 신양리 744"
"7647","제주특별자치도 제주시 우도면 연평리 1535"
"7648","제주특별자치도 제주시 우도면 연평리 1317"
"7649","제주특별자치도 제주시 우도면 연평리 1700-1"
"7650","제주특별자치도 제주시 우도면 연평리 1534"
"7651","제주특별자치도 제주시 우도면 연평리 1952"
"7652","제주특별자치도 제주시 우도면 연평리 2070-1"
"7653","제주특별자치도 제주시 우도면 연평리 236-2"
"7654","제주특별자치도 제주시 우도면 연평리 172-1"
"7655","제주특별자치도 제주시 우도면 연평리 172"
"7656","제주특별자치도 제주시 우도면 연평리 591"
"7657","제주특별자치도 제주시 우도면 연평리 1575-1"
"7658","제주특별자치도 제주시 우도면 연평리 1961"
"7659","제주특별자치도 제주시 우도면 연평리 1575"
"7660","제주특별자치도 제주시 우도면 연평리 1555"
"7661","제주특별자치도 제주시 우도면 연평리 704-1"
"7662","제주특별자치도 제주시 우도면 연평리 2021"
"7663","제주특별자치도 제주시 우도면 연평리 2618"
"7664","제주특별자치도 서귀포시 대정읍 상모리 2365-1"
"7665","제주특별자치도 서귀포시 대정읍 상모리 552-2"
"7666","제주특별자치도 서귀포시 대정읍 상모리 1327-1"
"7667","제주특별자치도 서귀포시 대정읍 상모리 642"
"7668","제주특별자치도 서귀포시 대정읍 상모리 605-1"
"7669","제주특별자치도 서귀포시 대정읍 상모리 616"
"7670","제주특별자치도 서귀포시 대정읍 상모리 1210"
"7671","제주특별자치도 서귀포시 대정읍 상모리 1272"
"7672","제주특별자치도 서귀포시 대정읍 상모리 1341"
"7673","제주특별자치도 서귀포시 대정읍 상모리 1987-3"
"7674","제주특별자치도 서귀포시 대정읍 상모리 2171-1"
"7675","제주특별자치도 서귀포시 대정읍 상모리 1619-1"
"7676","제주특별자치도 서귀포시 대정읍 상모리 62-3"
"7677","제주특별자치도 서귀포시 대정읍 상모리 3456-1"
"7678","제주특별자치도 서귀포시 대정읍 상모리 470"
"7679","제주특별자치도 서귀포시 대정읍 상모리 3042"
"7680","제주특별자치도 서귀포시 대정읍 상모리 1670"
"7681","제주특별자치도 서귀포시 대정읍 상모리 1798"
"7682","제주특별자치도 서귀포시 대정읍 상모리 1244"
"7683","제주특별자치도 서귀포시 대정읍 상모리 995"
"7684","제주특별자치도 서귀포시 대정읍 상모리 2430-1"
"7685","제주특별자치도 서귀포시 대정읍 상모리 3748-1"
"7686","제주특별자치도 서귀포시 대정읍 상모리 2134"
"7687","제주특별자치도 서귀포시 대정읍 상모리 1917"
"7688","제주특별자치도 서귀포시 대정읍 상모리 337"
"7689","제주특별자치도 서귀포시 대정읍 상모리 347"
"7690","제주특별자치도 서귀포시 대정읍 상모리 663"
"7691","제주특별자치도 서귀포시 대정읍 상모리 749"
"7692","제주특별자치도 서귀포시 대정읍 상모리 1542"
"7693","제주특별자치도 서귀포시 대정읍 상모리 1670-4"
"7694","제주특별자치도 서귀포시 대정읍 상모리 2340"
"7695","제주특별자치도 서귀포시 대정읍 상모리 2353-3"
"7696","제주특별자치도 서귀포시 대정읍 상모리 2779"
"7697","제주특별자치도 서귀포시 대정읍 상모리 2945"
"7698","제주특별자치도 서귀포시 대정읍 상모리 2174-5"
"7699","제주특별자치도 서귀포시 대정읍 상모리 600"
"7700","제주특별자치도 서귀포시 대정읍 상모리 617-2"
"7701","제주특별자치도 서귀포시 대정읍 상모리 1512"
"7702","제주특별자치도 서귀포시 대정읍 상모리 1424-3"
"7703","제주특별자치도 서귀포시 대정읍 상모리 2145"
"7704","제주특별자치도 서귀포시 대정읍 상모리 715-1"
"7705","제주특별자치도 서귀포시 대정읍 상모리 1408-3"
"7706","제주특별자치도 서귀포시 대정읍 상모리 1129"
"7707","제주특별자치도 서귀포시 대정읍 상모리 1172-8"
"7708","제주특별자치도 서귀포시 대정읍 상모리 1563"
"7709","제주특별자치도 서귀포시 대정읍 상모리 2081-1"
"7710","제주특별자치도 서귀포시 대정읍 상모리 2193-1"
"7711","제주특별자치도 서귀포시 대정읍 상모리 2843"
"7712","제주특별자치도 서귀포시 대정읍 상모리 3182-1"
"7713","제주특별자치도 서귀포시 대정읍 상모리 2942-1"
"7714","제주특별자치도 서귀포시 대정읍 상모리 2948-2"
"7715","제주특별자치도 서귀포시 대정읍 상모리 2951"
"7716","제주특별자치도 서귀포시 대정읍 상모리 92-1"
"7717","제주특별자치도 서귀포시 대정읍 상모리 3206-1"
"7718","제주특별자치도 서귀포시 대정읍 상모리 3719"
"7719","제주특별자치도 서귀포시 대정읍 상모리 1387"
"7720","제주특별자치도 서귀포시 대정읍 상모리 2000-2"
"7721","제주특별자치도 서귀포시 대정읍 상모리 2011"
"7722","제주특별자치도 서귀포시 대정읍 상모리 2011-2"
"7723","제주특별자치도 서귀포시 대정읍 상모리 2175-5"
"7724","제주특별자치도 서귀포시 대정읍 상모리 412"
"7725","제주특별자치도 서귀포시 대정읍 상모리 1077-1"
"7726","제주특별자치도 서귀포시 대정읍 상모리 1214"
"7727","제주특별자치도 서귀포시 대정읍 상모리 1458"
"7728","제주특별자치도 서귀포시 대정읍 상모리 1462-4"
"7729","제주특별자치도 서귀포시 대정읍 상모리 2477"
"7730","제주특별자치도 서귀포시 대정읍 상모리 3528"
"7731","제주특별자치도 서귀포시 대정읍 상모리 2606"
"7732","제주특별자치도 서귀포시 대정읍 상모리 1978"
"7733","제주특별자치도 서귀포시 대정읍 상모리 2106"
"7734","제주특별자치도 서귀포시 대정읍 상모리 2280-1"
"7735","제주특별자치도 서귀포시 대정읍 상모리 2448-2"
"7736","제주특별자치도 서귀포시 대정읍 상모리 2877"
"7737","제주특별자치도 서귀포시 대정읍 상모리 2880"
"7738","제주특별자치도 서귀포시 대정읍 상모리 1012"
"7739","제주특별자치도 서귀포시 대정읍 상모리 1233-20"
"7740","제주특별자치도 서귀포시 대정읍 상모리 2365-3"
"7741","제주특별자치도 서귀포시 대정읍 상모리 1447-1"
"7742","제주특별자치도 서귀포시 대정읍 상모리 511"
"7743","제주특별자치도 서귀포시 대정읍 상모리 517-3"
"7744","제주특별자치도 서귀포시 대정읍 상모리 1234-7"
"7745","제주특별자치도 서귀포시 대정읍 상모리 1629-5"
"7746","제주특별자치도 서귀포시 대정읍 상모리 2014"
"7747","제주특별자치도 서귀포시 대정읍 상모리 411-1"
"7748","제주특별자치도 서귀포시 대정읍 상모리 387"
"7749","제주특별자치도 서귀포시 대정읍 상모리 1234-52"
"7750","제주특별자치도 서귀포시 대정읍 상모리 2152-3"
"7751","제주특별자치도 서귀포시 대정읍 상모리 94-1"
"7752","제주특별자치도 서귀포시 대정읍 상모리 1629-1"
"7753","제주특별자치도 서귀포시 대정읍 상모리 2366-4"
"7754","제주특별자치도 서귀포시 대정읍 상모리 2019-1"
"7755","제주특별자치도 서귀포시 대정읍 상모리 1530"
"7756","제주특별자치도 서귀포시 대정읍 상모리 2182-3"
"7757","제주특별자치도 서귀포시 대정읍 상모리 3000"
"7758","제주특별자치도 서귀포시 대정읍 상모리 3684"
"7759","제주특별자치도 서귀포시 대정읍 상모리 1233-2"
"7760","제주특별자치도 서귀포시 대정읍 상모리 2487-1"
"7761","제주특별자치도 서귀포시 대정읍 상모리 3459-2"
"7762","제주특별자치도 서귀포시 대정읍 상모리 1057"
"7763","제주특별자치도 서귀포시 대정읍 상모리 1111"
"7764","제주특별자치도 서귀포시 대정읍 상모리 1392"
"7765","제주특별자치도 서귀포시 대정읍 상모리 1007"
"7766","제주특별자치도 서귀포시 대정읍 상모리 566"
"7767","제주특별자치도 서귀포시 대정읍 상모리 2412-1"
"7768","제주특별자치도 서귀포시 대정읍 상모리 2240-6"
"7769","제주특별자치도 서귀포시 대정읍 상모리 2831"
"7770","제주특별자치도 서귀포시 대정읍 상모리 2901"
"7771","제주특별자치도 서귀포시 대정읍 상모리 1476-1"
"7772","제주특별자치도 서귀포시 대정읍 상모리 1448"
"7773","제주특별자치도 서귀포시 대정읍 상모리 475"
"7774","제주특별자치도 서귀포시 대정읍 상모리 10-3"
"7775","제주특별자치도 서귀포시 대정읍 상모리 1002"
"7776","제주특별자치도 서귀포시 대정읍 상모리 1070-1"
"7777","제주특별자치도 서귀포시 대정읍 상모리 3421"
"7778","제주특별자치도 서귀포시 대정읍 상모리 3674"
"7779","제주특별자치도 서귀포시 대정읍 상모리 3667-1"
"7780","제주특별자치도 서귀포시 대정읍 상모리 2239-1"
"7781","제주특별자치도 서귀포시 대정읍 상모리 3028-3"
"7782","제주특별자치도 서귀포시 대정읍 상모리 3103-1"
"7783","제주특별자치도 서귀포시 대정읍 상모리 1994"
"7784","제주특별자치도 서귀포시 대정읍 상모리 2055"
"7785","제주특별자치도 서귀포시 대정읍 상모리 778"
"7786","제주특별자치도 서귀포시 대정읍 상모리 922"
"7787","제주특별자치도 서귀포시 대정읍 상모리 3432-1"
"7788","제주특별자치도 서귀포시 대정읍 상모리 2293"
"7789","제주특별자치도 서귀포시 대정읍 상모리 1272-1"
"7790","제주특별자치도 서귀포시 대정읍 상모리 90"
"7791","제주특별자치도 서귀포시 대정읍 상모리 109"
"7792","제주특별자치도 서귀포시 대정읍 상모리 110"
"7793","제주특별자치도 서귀포시 대정읍 상모리 114"
"7794","제주특별자치도 서귀포시 대정읍 상모리 1408-2"
"7795","제주특별자치도 서귀포시 대정읍 상모리 3182"
"7796","제주특별자치도 서귀포시 대정읍 상모리 2859-1"
"7797","제주특별자치도 서귀포시 대정읍 상모리 850"
"7798","제주특별자치도 서귀포시 대정읍 상모리 2170-1"
"7799","제주특별자치도 서귀포시 대정읍 상모리 62-1"
"7800","제주특별자치도 서귀포시 대정읍 상모리 1619"
"7801","제주특별자치도 서귀포시 대정읍 상모리 1670-2"
"7802","제주특별자치도 서귀포시 대정읍 상모리 3741"
"7803","제주특별자치도 서귀포시 대정읍 상모리 1620-1"
"7804","제주특별자치도 서귀포시 대정읍 상모리 586-2"
"7805","제주특별자치도 서귀포시 대정읍 상모리 2434"
"7806","제주특별자치도 서귀포시 대정읍 상모리 65-3"
"7807","제주특별자치도 서귀포시 대정읍 상모리 103"
"7808","제주특별자치도 서귀포시 대정읍 상모리 1389"
"7809","제주특별자치도 서귀포시 대정읍 상모리 1389-1"
"7810","제주특별자치도 서귀포시 대정읍 상모리 1895"
"7811","제주특별자치도 서귀포시 대정읍 상모리 2011-3"
"7812","제주특별자치도 서귀포시 대정읍 상모리 2137-1"
"7813","제주특별자치도 서귀포시 대정읍 상모리 2990"
"7814","제주특별자치도 서귀포시 대정읍 상모리 337-3"
"7815","제주특별자치도 서귀포시 대정읍 상모리 1489"
"7816","제주특별자치도 서귀포시 대정읍 상모리 1320-1"
"7817","제주특별자치도 서귀포시 대정읍 상모리 410"
"7818","제주특별자치도 서귀포시 대정읍 상모리 1392-1"
"7819","제주특별자치도 서귀포시 대정읍 상모리 763-1"
"7820","제주특별자치도 서귀포시 대정읍 상모리 3606"
"7821","제주특별자치도 서귀포시 대정읍 상모리 2353-2"
"7822","제주특별자치도 서귀포시 대정읍 상모리 1437"
"7823","제주특별자치도 서귀포시 대정읍 상모리 1124"
"7824","제주특별자치도 서귀포시 대정읍 상모리 1173-45"
"7825","제주특별자치도 서귀포시 대정읍 상모리 1086-1"
"7826","제주특별자치도 서귀포시 대정읍 상모리 2262-4"
"7827","제주특별자치도 서귀포시 대정읍 상모리 2046-1"
"7828","제주특별자치도 서귀포시 대정읍 상모리 2263-54"
"7829","제주특별자치도 서귀포시 대정읍 상모리 2994"
"7830","제주특별자치도 서귀포시 대정읍 상모리 1172-1"
"7831","제주특별자치도 서귀포시 대정읍 상모리 1830-1"
"7832","제주특별자치도 서귀포시 대정읍 상모리 2080"
"7833","제주특별자치도 서귀포시 대정읍 상모리 1227-4"
"7834","제주특별자치도 서귀포시 대정읍 상모리 677-3"
"7835","제주특별자치도 서귀포시 대정읍 상모리 1403-4"
"7836","제주특별자치도 서귀포시 대정읍 상모리 2103-1"
"7837","제주특별자치도 서귀포시 대정읍 상모리 1806"
"7838","제주특별자치도 서귀포시 대정읍 상모리 1496"
"7839","제주특별자치도 서귀포시 대정읍 상모리 3514"
